idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15;;;
"11084,Bermuda Highball,Ordinary Drink,Alcoholic,""Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"",http://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,,,,,";;;
;;;
"11085,Bermuda Rose,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Apricot brandy,Gin,Grenadine,,,,,,,,,,,";;;
;;;
"11086,Bernardo,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine the gin, triple sec, lemon juice, and bitters. Shake well. Strain into a cocktail glass and garnish with the lemon twist."",,Gin,Triple sec,Lemon juice,Bitters,Lemon peel,,,,,,,,,";;;
;;;
"11087,Betsy Ross,Ordinary Drink,Alcoholic,""In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass."",,Ice,Brandy,Tawny port,Triple sec,,,,,,,,,,";;;
;;;
"11088,Between The Sheets,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Brandy,Light rum,Triple sec,Lemon juice,,,,,,,,,,";;;
;;;
"11089,Biffy Cocktail,Ordinary Drink,Alcoholic,""Shake all ingredients with ice, strain into a cocktail glass, and serve."",,Gin,Swedish Punsch,Lemon,,,,,,,,,,,";;;
;;;
11090,Bijou Cocktail,Ordinary Drink,Alcoholic,Shake all ingredients (except the cherry) with ice and strain into a cocktail glass. Add the cherry on top and serve.,,Sweet Vermouth,Gin,Green Chartreuse,Orange bitters,Cherry,,,,,,,,,;;;
;;;
"11091,Bikini,Ordinary Drink,Alcoholic,""Shake rum, vodka, milk, sugar, and juice of lemon with ice and strain into a cocktail glass. Decorate with a twist of lemon and serve."",,Light rum,Vodka,Milk,Sugar,Lemon,Lemon peel,,,,,,,,";;;
;;;
"11092,Billy Taylor,Ordinary Drink,Alcoholic,""Pour gin and juice of lime into a collins glass over ice cubes. Fill with carbonated water, stir, and serve."",,Gin,Lime,Carbonated water,,,,,,,,,,,";;;
;;;
"11093,Bishop,Ordinary Drink,Alcoholic,""Shake juice of lemon, juice of orange, and powdered sugar with ice and strain into a highball glass. Add two ice cubes, fill with burgundy, and stir well. Decorate with various fruits and serve."",,Lemon,Orange,Powdered sugar,Red wine,,,,,,,,,,";;;
;;;
"11094,Bitch-On-Wheels,Ordinary Drink,Alcoholic,""In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."",,Gin,Dry Vermouth,White Creme de Menthe,Pernod,,,,,,,,,,";;;
;;;
"11095,Black Baltimore,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Brandy,Black Sambuca,Egg white,,,,,,,,,,,";;;
;;;
11096,Black Devil,Ordinary Drink,Alcoholic,Stir rum and vermouth with cracked ice and strain into a cocktail glass. Top with the black olive and serve.,,Dry Vermouth,Light rum,Olive,,,,,,,,,,,;;;
;;;
11097,Black Hawk,Ordinary Drink,Alcoholic,Stir blended whiskey and sloe gin with ice and strain into a cocktail glass. Top with the cherry and serve.,,Blended whiskey,Sloe gin,Cherry,,,,,,,,,,,;;;
;;;
"11098,Blackjack #1,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass."",,Scotch,Kahlua,Triple sec,Lemon juice,,,,,,,,,,";;;
;;;
11099,Black Maria,Ordinary Drink,Alcoholic,Combine and stir all ingredients in a brandy snifter. Add cracked ice and serve.,,Coffee brandy,Light rum,Coffee,Powdered sugar,,,,,,,,,,;;;
;;;
"11100,Black Monday,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."",,Dark rum,Black Sambuca,Cherry brandy,Lemon juice,,,,,,,,,,";;;
;;;
"11101,Black Pagoda,Ordinary Drink,Alcoholic,""In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."",,Brandy,Sweet Vermouth,Dry Vermouth,Triple sec,,,,,,,,,,";;;
;;;
11102,Black Russian,Ordinary Drink,Alcoholic,Pour ingredients over ice cubes in an old-fashioned glass and serve.,,Coffee liqueur,Vodka,,,,,,,,,,,,;;;
;;;
"11105,Blackjack #2,Ordinary Drink,Alcoholic,""Shake all ingredients with cracked ice, strain into an old-fashioned glass over ice cubes, and serve."",,Brandy,Kirschwasser,Coffee,,,,,,,,,,,";;;
;;;
11106,Blackthorn,Ordinary Drink,Alcoholic,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,,,,;;;
;;;
"11107,Blarney Stone Cocktail,Ordinary Drink,Alcoholic,""Shake Irish whiskey, anis, triple sec, and maraschino with ice and strain into a cocktail glass. Add the twist of orange peel, top with the olive, and serve."",,Irish whiskey,Anis,Triple sec,Maraschino liqueur,Orange peel,Olive,,,,,,,,";;;
;;;
"11108,Blimey,Ordinary Drink,Alcoholic,""In a shaker half-filled with ice cubes, combine all of the ingredients. Shake wel. Strain into a cocktail glass."",,Scotch,Lime juice,Sugar,,,,,,,,,,,";;;
;;;
11109,Blinder,Ordinary Drink,Alcoholic,Pour the scotch and grapefruit juice into a highball glass alomst filled with ice cubes. Drop the grenadine into the center of the drink.,,Scotch,Grapefruit juice,Grenadine,,,,,,,,,,,;;;
;;;
11110,Bloodhound Cocktail,Ordinary Drink,Alcoholic,Shake all ingredients (except strawberries) with ice and strain into a cocktail glass. Decorate with the 3 crushed strawberries and serve.,,Sweet Vermouth,Dry Vermouth,Gin,Strawberries,,,,,,,,,,;;;
;;;
"11111,Bloody Bull,Ordinary Drink,Alcoholic,""Pour vodka, tomato juice, and beef bouillon over ice in a highball glass and stir. Add the slice of lime and the wedge of lemon and serve."",,Vodka,Tomato juice,Beef bouillon,Lime,Lemon,,,,,,,,,";;;
;;;
11112,Bloody Maria,Ordinary Drink,Alcoholic,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,,,,;;;
;;;
